Transaction_ID,Customer_ID,Purchase_Date,Product_Name,Product_Category,Amount_Spent,Payment_Method,Store_Location,Discount_Applied,Transaction_Status
26,6649,2024-07-22,Groceries,Electronics,25415.05,Debit Card,Jaipur,15,Completed
27,2636,2023-07-04,Groceries,Groceries,40623.83,Credit Card,Chennai,10,Failed
28,326,2023-09-12,Groceries,Groceries,245.59,UPI,Jaipur,10,Failed
29,1090,2022-08-20,Groceries,Books,45119.15,Cash,Bangalore,20,Completed
30,183,2023-12-02,Laptop,Home & Kitchen,4492.89,Credit Card,Chennai,5,Completed
31,4326,2024-06-27,Groceries,Groceries,28371.91,Cash,Mumbai,10,Failed
32,6670,2022-12-27,Mixer,Toys,26119.42,UPI,Bangalore,10,Completed
33,3428,2023-09-02,Toy,Clothing,35737.99,Cash,Jaipur,10,Completed
34,2376,2022-01-14,Mixer,Home & Kitchen,28318.34,Cash,Pune,20,Failed
35,3142,2024-06-18,Groceries,Electronics,49917.75,Credit Card,Delhi,5,Pending
36,6714,2023-07-11,Toy,Clothing,23632.61,UPI,Surat,15,Pending
37,2412,2024-09-27,Laptop,Groceries,33433.93,Cash,Kolkata,5,Pending
38,5152,2022-10-08,Shirt,Home & Kitchen,31654.61,Cash,Jaipur,5,Failed
39,1835,2022-05-27,Toy,Toys,29986.71,UPI,Bangalore,0,Pending
40,708,2023-01-13,Toy,Toys,13193.78,Cash,Chennai,0,Pending
41,569,2023-06-13,Mixer,Books,5741.29,UPI,Ahmedabad,15,Failed
42,2388,2023-12-11,Laptop,Groceries,11970.24,Credit Card,Kolkata,0,Pending
43,6856,2024-04-04,Shirt,Books,29168.94,Debit Card,Kolkata,5,Failed
44,5482,2024-03-09,Groceries,Clothing,19881.35,Debit Card,Bangalore,0,Completed
45,4891,2024-01-27,Toy,Clothing,39477.29,Credit Card,Jaipur,15,Completed
46,5895,2022-06-28,Toy,Electronics,41910.94,Credit Card,Mumbai,10,Completed
47,6485,2022-11-04,Book,Toys,35867.81,Debit Card,Pune,15,Completed
48,215,2024-08-15,Shirt,Electronics,24670.56,Debit Card,Kolkata,5,Completed
49,4327,2022-12-21,Toy,Books,6661.3,Credit Card,Bangalore,0,Failed
50,1317,2021-10-10,Laptop,Clothing,49393.85,Debit Card,Jaipur,10,Completed
51,2081,2023-10-01,Groceries,Home & Kitchen,7734.38,Credit Card,Ahmedabad,10,Completed
52,2105,2022-11-26,Laptop,Books,41772.43,Cash,Ahmedabad,0,Completed
53,6555,2022-01-04,Laptop,Groceries,3650.57,Cash,Ahmedabad,0,Completed
54,2775,2023-06-22,Book,Toys,23033.0,Cash,Ahmedabad,5,Failed
55,911,2023-12-20,Mixer,Clothing,34011.29,Debit Card,Delhi,0,Failed
56,82,2023-07-20,Toy,Home & Kitchen,27922.09,Debit Card,Delhi,5,Pending
57,5222,2022-03-11,Toy,Home & Kitchen,5846.99,Credit Card,Kolkata,15,Failed
58,5737,2023-11-11,Mixer,Home & Kitchen,46946.87,Credit Card,Hyderabad,5,Failed
59,5497,2022-11-22,Shirt,Toys,39997.87,Credit Card,Jaipur,10,Pending
60,6955,2024-07-25,Toy,Clothing,10859.31,Cash,Pune,20,Failed
61,3582,2024-06-11,Book,Clothing,24151.4,Debit Card,Kolkata,0,Completed
62,2492,2024-07-13,Mixer,Clothing,27454.63,UPI,Mumbai,15,Completed
63,3699,2024-02-15,Toy,Clothing,10459.18,Debit Card,Ahmedabad,20,Completed
64,5688,2022-11-22,Groceries,Clothing,29431.19,UPI,Hyderabad,10,Completed
65,4786,2024-09-27,Laptop,Books,38508.6,Cash,Surat,10,Completed
66,6742,2024-05-09,Mixer,Toys,24694.98,Debit Card,Mumbai,10,Completed
67,5023,2022-12-23,Toy,Home & Kitchen,26175.9,Cash,Bangalore,5,Completed
68,5897,2024-04-24,Groceries,Electronics,17139.64,UPI,Ahmedabad,10,Failed
69,3765,2024-05-05,Book,Home & Kitchen,49188.92,Credit Card,Mumbai,10,Failed
70,2375,2023-11-09,Mixer,Home & Kitchen,43227.74,Credit Card,Kolkata,10,Failed
71,588,2023-02-22,Shirt,Toys,35431.51,UPI,Bangalore,20,Failed
72,5257,2023-01-13,Groceries,Books,47332.23,Debit Card,Pune,5,Pending
73,3355,2022-06-27,Laptop,Groceries,21198.06,Cash,Mumbai,0,Completed
74,6857,2024-09-10,Toy,Electronics,44538.68,UPI,Pune,0,Pending
75,4183,2021-12-11,Groceries,Groceries,19619.98,Cash,Bangalore,0,Failed
76,5652,2022-01-23,Groceries,Clothing,34455.38,Cash,Delhi,15,Pending
77,1194,2021-11-29,Mixer,Books,17435.94,Cash,Delhi,5,Completed
78,3015,2021-12-14,Shirt,Books,39403.78,Credit Card,Kolkata,10,Pending
79,4188,2024-09-28,Groceries,Toys,5300.81,UPI,Delhi,5,Pending
80,716,2023-06-05,Book,Electronics,26934.71,UPI,Surat,5,Pending
81,1877,2022-10-05,Shirt,Clothing,42836.54,Cash,Mumbai,0,Completed
82,3149,2024-03-29,Mixer,Books,40154.2,Cash,Pune,0,Completed
83,670,2023-11-07,Laptop,Books,17964.15,Cash,Kolkata,5,Pending
84,6290,2022-10-29,Laptop,Toys,29476.85,Debit Card,Jaipur,0,Failed
85,3362,2022-12-18,Book,Home & Kitchen,32543.8,Debit Card,Ahmedabad,15,Pending
86,1802,2022-07-14,Shirt,Clothing,23779.44,UPI,Hyderabad,10,Pending
87,2467,2023-09-09,Toy,Clothing,44883.29,Debit Card,Bangalore,20,Failed
88,2940,2021-12-05,Toy,Home & Kitchen,46113.54,Credit Card,Jaipur,20,Pending
89,1779,2024-06-07,Laptop,Clothing,47802.83,UPI,Bangalore,20,Pending
90,6023,2023-12-28,Toy,Toys,34998.19,UPI,Surat,20,Failed
91,1311,2022-11-20,Mixer,Electronics,11485.79,Debit Card,Mumbai,15,Completed
92,1055,2023-09-12,Shirt,Electronics,47278.48,Credit Card,Chennai,0,Pending
93,5344,2023-08-24,Laptop,Groceries,11747.77,Cash,Kolkata,0,Failed
94,1055,2024-03-01,Toy,Clothing,33285.5,Credit Card,Kolkata,5,Failed
95,1263,2023-04-11,Groceries,Groceries,12010.72,Credit Card,Bangalore,20,Pending
96,1076,2022-10-18,Mixer,Home & Kitchen,21027.89,Credit Card,Surat,0,Completed
97,2553,2024-05-29,Mixer,Home & Kitchen,38547.71,UPI,Delhi,20,Completed
98,6910,2023-08-16,Mixer,Clothing,18015.41,UPI,Mumbai,5,Completed
99,1675,2024-06-22,Groceries,Books,15155.23,Debit Card,Jaipur,15,Pending
100,1986,2022-12-09,Groceries,Electronics,40047.05,Debit Card,Hyderabad,15,Pending
101,6408,2022-01-29,Book,Clothing,48977.16,UPI,Bangalore,10,Completed
102,6479,2024-08-06,Toy,Books,17947.71,Cash,Chennai,10,Completed
103,4183,2023-10-06,Shirt,Toys,8854.06,Debit Card,Surat,0,Completed
104,4866,2024-09-05,Book,Home & Kitchen,45640.16,Credit Card,Hyderabad,5,Pending
105,1856,2022-12-02,Toy,Home & Kitchen,45545.64,Debit Card,Kolkata,15,Pending
106,1834,2022-02-03,Shirt,Toys,43642.84,Credit Card,Chennai,15,Failed
107,3050,2022-05-30,Laptop,Books,10187.04,UPI,Hyderabad,20,Pending
108,5377,2023-05-20,Groceries,Books,6762.78,Credit Card,Hyderabad,0,Completed
109,4847,2023-08-09,Book,Home & Kitchen,4094.48,UPI,Chennai,5,Pending
110,5983,2022-11-25,Groceries,Groceries,38719.18,Debit Card,Surat,0,Completed
111,503,2021-11-28,Toy,Groceries,4621.04,Credit Card,Chennai,10,Pending
112,6003,2022-04-10,Mixer,Electronics,4394.95,Debit Card,Delhi,10,Failed
113,4732,2023-03-22,Mixer,Clothing,12751.63,Credit Card,Chennai,20,Completed
114,186,2023-12-31,Mixer,Groceries,31038.15,UPI,Bangalore,0,Failed
115,1043,2023-08-19,Laptop,Home & Kitchen,33582.42,Debit Card,Mumbai,0,Pending
116,5521,2022-03-04,Book,Books,19299.38,UPI,Bangalore,0,Failed
117,67,2021-11-25,Toy,Electronics,11386.27,Cash,Ahmedabad,15,Completed
118,3476,2021-10-21,Shirt,Electronics,4944.29,UPI,Ahmedabad,0,Pending
119,3768,2022-12-31,Book,Home & Kitchen,28451.38,Credit Card,Jaipur,5,Pending
120,2767,2024-05-12,Groceries,Home & Kitchen,37569.27,Cash,Mumbai,20,Completed
121,4013,2023-01-14,Laptop,Clothing,12821.95,Debit Card,Kolkata,0,Completed
122,6151,2024-07-11,Shirt,Groceries,6242.19,Debit Card,Mumbai,0,Failed
123,2961,2022-10-19,Shirt,Toys,21292.02,Debit Card,Chennai,20,Pending
124,2134,2023-02-16,Shirt,Home & Kitchen,38846.82,Debit Card,Mumbai,5,Pending
125,1862,2022-05-12,Groceries,Clothing,35091.42,UPI,Kolkata,0,Pending
126,950,2022-09-28,Book,Toys,49078.03,UPI,Jaipur,10,Pending
127,4292,2022-06-21,Mixer,Groceries,6949.31,Debit Card,Hyderabad,20,Pending
128,2716,2022-08-03,Laptop,Home & Kitchen,48379.14,Cash,Jaipur,5,Pending
129,1819,2022-05-19,Toy,Clothing,11578.7,UPI,Pune,20,Pending
130,753,2023-01-03,Toy,Clothing,3019.98,Debit Card,Bangalore,10,Pending
131,4880,2024-04-10,Toy,Electronics,16348.38,Credit Card,Jaipur,0,Completed
132,410,2024-10-03,Book,Groceries,34744.59,UPI,Mumbai,15,Pending
133,100,2023-02-04,Book,Toys,11111.02,Debit Card,Jaipur,5,Pending
134,3575,2024-01-18,Laptop,Books,2607.48,UPI,Mumbai,20,Failed
135,6460,2024-01-04,Groceries,Clothing,43178.54,UPI,Kolkata,20,Pending
136,6019,2022-02-08,Mixer,Groceries,29858.5,Cash,Jaipur,5,Failed
137,3267,2023-12-09,Mixer,Electronics,32652.73,Cash,Surat,15,Failed
138,4038,2024-04-19,Shirt,Electronics,12908.15,Cash,Bangalore,15,Pending
139,812,2024-06-19,Toy,Home & Kitchen,34391.25,Credit Card,Delhi,20,Failed
140,5428,2022-03-21,Mixer,Books,16533.93,Cash,Ahmedabad,20,Completed
141,354,2022-05-16,Mixer,Books,35083.21,Credit Card,Pune,5,Failed
142,6755,2024-06-06,Shirt,Books,40711.19,Debit Card,Mumbai,5,Pending
143,6246,2021-11-30,Groceries,Clothing,25701.23,UPI,Pune,15,Failed
144,5229,2024-04-27,Laptop,Electronics,48805.73,UPI,Chennai,10,Failed
145,4089,2023-10-08,Mixer,Electronics,5873.11,Credit Card,Pune,10,Failed
146,3974,2024-05-16,Laptop,Books,43509.09,Cash,Surat,20,Completed
147,6156,2024-02-21,Mixer,Books,28322.79,Cash,Ahmedabad,0,Failed
148,6249,2023-12-11,Shirt,Books,46041.96,Cash,Hyderabad,15,Completed
149,2249,2023-12-13,Mixer,Groceries,24870.44,UPI,Mumbai,10,Pending
150,6898,2021-11-05,Book,Electronics,39652.69,Cash,Jaipur,5,Pending
151,6152,2023-10-31,Shirt,Electronics,24271.88,Cash,Pune,5,Failed
152,1686,2024-02-03,Laptop,Clothing,11673.41,UPI,Hyderabad,0,Pending
153,5106,2022-06-12,Book,Electronics,2197.32,UPI,Bangalore,20,Pending
154,2504,2023-04-02,Book,Books,31519.79,Debit Card,Mumbai,10,Pending
155,1046,2022-10-04,Book,Electronics,39204.51,UPI,Chennai,10,Failed
156,3181,2024-08-20,Laptop,Toys,39588.28,Cash,Surat,10,Pending
157,1428,2022-02-10,Laptop,Books,3227.23,UPI,Kolkata,15,Completed
158,1768,2023-05-22,Shirt,Groceries,4834.72,Cash,Hyderabad,15,Failed
159,1294,2024-10-07,Groceries,Home & Kitchen,4273.95,Cash,Kolkata,5,Pending
160,2081,2024-08-18,Groceries,Electronics,38855.54,Credit Card,Jaipur,15,Completed
161,2769,2024-08-11,Book,Clothing,42790.34,Cash,Pune,10,Failed
162,2605,2022-02-14,Groceries,Books,24973.73,UPI,Delhi,20,Failed
163,1611,2024-07-04,Book,Clothing,31497.22,Cash,Pune,20,Pending
164,4203,2023-05-10,Mixer,Toys,12624.52,Credit Card,Delhi,15,Failed
165,3874,2023-12-28,Laptop,Toys,33340.74,UPI,Jaipur,5,Failed
166,1669,2023-04-18,Groceries,Electronics,23884.75,Credit Card,Kolkata,20,Failed
167,1845,2023-06-01,Toy,Clothing,15657.12,Debit Card,Surat,20,Completed
168,4227,2024-08-12,Book,Clothing,37082.17,Cash,Ahmedabad,15,Failed
169,563,2024-09-20,Toy,Clothing,31065.77,UPI,Chennai,20,Failed
170,5752,2024-07-15,Mixer,Groceries,29931.44,Debit Card,Pune,10,Completed
171,2745,2023-11-02,Shirt,Toys,27665.63,UPI,Bangalore,10,Failed
172,3998,2022-09-29,Groceries,Electronics,7800.09,Debit Card,Jaipur,5,Pending
173,4311,2023-08-15,Book,Books,22744.13,Cash,Surat,20,Failed
174,4910,2023-09-02,Book,Books,49054.77,Credit Card,Bangalore,20,Failed
175,5531,2024-04-12,Laptop,Home & Kitchen,45171.34,Debit Card,Mumbai,15,Pending
176,6224,2023-07-10,Toy,Groceries,10129.5,UPI,Ahmedabad,15,Failed
177,4352,2024-07-06,Laptop,Books,26257.11,Debit Card,Bangalore,20,Pending
178,4522,2022-08-11,Laptop,Electronics,38332.23,Credit Card,Surat,20,Completed
179,4134,2024-03-17,Groceries,Clothing,22503.83,Credit Card,Mumbai,5,Completed
180,649,2023-01-18,Toy,Books,23873.08,UPI,Delhi,15,Pending
181,5023,2022-01-05,Toy,Clothing,37931.62,Debit Card,Hyderabad,10,Pending
182,499,2024-03-20,Toy,Electronics,18079.02,Debit Card,Pune,10,Completed
183,3916,2022-01-03,Toy,Clothing,29155.6,Cash,Ahmedabad,10,Pending
184,4981,2023-08-16,Mixer,Electronics,5864.21,Cash,Bangalore,10,Completed
185,4797,2022-07-10,Shirt,Toys,20182.66,UPI,Mumbai,15,Pending
186,435,2023-03-04,Laptop,Clothing,11988.8,Debit Card,Surat,0,Completed
187,6979,2022-10-25,Mixer,Clothing,7613.4,UPI,Ahmedabad,20,Pending
188,3995,2024-01-03,Mixer,Toys,19425.79,Debit Card,Jaipur,10,Failed
189,2248,2024-01-13,Groceries,Clothing,42941.58,Credit Card,Bangalore,20,Failed
190,2520,2022-12-20,Laptop,Clothing,417.15,Credit Card,Hyderabad,0,Failed
191,4461,2021-11-16,Laptop,Home & Kitchen,33414.8,Debit Card,Surat,5,Pending
192,5215,2024-02-02,Groceries,Home & Kitchen,17996.34,Debit Card,Hyderabad,0,Failed
193,2137,2022-10-04,Book,Groceries,12846.95,Credit Card,Chennai,10,Completed
194,4381,2022-07-06,Groceries,Home & Kitchen,5878.87,UPI,Mumbai,0,Pending
195,6486,2024-08-18,Mixer,Groceries,41219.66,Debit Card,Kolkata,15,Failed
196,2384,2023-08-03,Toy,Electronics,31504.06,Cash,Surat,5,Failed
197,6081,2021-10-17,Laptop,Home & Kitchen,15022.86,Cash,Chennai,15,Pending
198,4078,2024-02-13,Shirt,Home & Kitchen,19644.8,UPI,Jaipur,5,Pending
199,5898,2022-09-01,Book,Books,24337.01,Cash,Delhi,5,Failed
200,2409,2024-03-23,Shirt,Groceries,9781.14,UPI,Jaipur,5,Completed
201,4882,2021-10-29,Book,Home & Kitchen,23132.31,Credit Card,Surat,10,Completed
202,1286,2023-11-12,Laptop,Clothing,5506.42,Credit Card,Kolkata,0,Completed
203,979,2024-10-02,Groceries,Electronics,35202.08,Credit Card,Pune,15,Completed
204,2603,2022-07-22,Toy,Books,37705.46,UPI,Delhi,0,Pending
205,5268,2023-09-28,Shirt,Electronics,46860.02,UPI,Delhi,10,Completed
206,5803,2022-08-10,Toy,Electronics,5847.68,UPI,Delhi,10,Completed
207,5133,2022-04-23,Mixer,Toys,47464.55,Cash,Hyderabad,5,Pending
208,3271,2023-10-03,Book,Groceries,36372.64,Credit Card,Chennai,10,Completed
209,118,2022-04-13,Groceries,Clothing,6909.3,UPI,Ahmedabad,20,Completed
210,1449,2023-05-16,Mixer,Toys,46754.52,Credit Card,Hyderabad,5,Failed
211,1150,2023-04-22,Mixer,Groceries,45488.92,Debit Card,Kolkata,20,Completed
212,3533,2023-11-02,Laptop,Toys,48397.59,Debit Card,Bangalore,10,Pending
213,6404,2022-01-27,Groceries,Toys,9745.72,Cash,Hyderabad,5,Pending
214,5063,2022-06-25,Mixer,Electronics,17666.3,UPI,Bangalore,0,Pending
215,1276,2022-09-05,Book,Toys,6881.53,Credit Card,Bangalore,5,Pending
216,1322,2024-08-17,Groceries,Books,27586.39,Cash,Chennai,15,Failed
217,1334,2023-11-07,Laptop,Home & Kitchen,28270.94,UPI,Pune,10,Pending
218,2547,2024-07-20,Laptop,Electronics,22749.16,UPI,Jaipur,20,Failed
219,1109,2023-04-29,Laptop,Toys,43433.32,UPI,Mumbai,15,Pending
220,4583,2022-10-13,Shirt,Electronics,42066.38,Credit Card,Hyderabad,15,Completed
221,1643,2022-05-30,Laptop,Groceries,11258.36,Cash,Ahmedabad,15,Completed
222,4092,2024-04-25,Groceries,Home & Kitchen,43806.48,Cash,Kolkata,0,Failed
223,4620,2022-05-25,Shirt,Groceries,25951.17,Cash,Delhi,5,Completed
224,6843,2024-09-11,Laptop,Home & Kitchen,38895.9,Cash,Mumbai,5,Failed
225,3272,2022-06-18,Laptop,Home & Kitchen,10188.66,UPI,Kolkata,0,Pending
226,6392,2024-05-03,Mixer,Home & Kitchen,39806.94,Cash,Bangalore,5,Failed
227,2036,2023-10-13,Shirt,Books,46325.43,Debit Card,Mumbai,15,Failed
228,3365,2024-02-12,Laptop,Groceries,6978.69,Cash,Kolkata,10,Pending
229,5443,2021-12-05,Book,Clothing,40886.01,Debit Card,Hyderabad,20,Failed
230,6514,2023-10-13,Laptop,Home & Kitchen,15568.91,Cash,Mumbai,10,Failed
231,6802,2022-02-21,Toy,Groceries,47694.18,UPI,Jaipur,0,Completed
232,6840,2023-08-31,Mixer,Home & Kitchen,46117.09,Cash,Hyderabad,5,Failed
233,2228,2023-10-19,Mixer,Books,21691.03,Debit Card,Bangalore,0,Pending
234,6294,2022-08-08,Toy,Toys,17261.92,Credit Card,Hyderabad,20,Failed
235,4188,2023-02-25,Toy,Home & Kitchen,28520.27,UPI,Chennai,0,Completed
236,5124,2022-01-31,Toy,Groceries,25190.1,Debit Card,Bangalore,5,Completed
237,2847,2022-12-07,Shirt,Groceries,33409.63,Credit Card,Ahmedabad,15,Completed
238,3530,2022-02-08,Groceries,Toys,48379.99,Cash,Chennai,15,Completed
239,2013,2021-11-25,Book,Books,31175.37,UPI,Bangalore,20,Pending
240,4357,2022-01-17,Mixer,Books,46896.98,UPI,Surat,20,Completed
241,2676,2022-09-02,Toy,Clothing,36326.88,Credit Card,Ahmedabad,0,Failed
242,2705,2024-05-03,Groceries,Groceries,29762.7,UPI,Kolkata,15,Failed
243,4009,2023-12-13,Mixer,Toys,4012.68,Credit Card,Surat,20,Completed
244,3302,2022-06-25,Mixer,Groceries,6944.61,Credit Card,Delhi,5,Pending
245,4425,2024-07-26,Shirt,Toys,30737.4,Credit Card,Bangalore,10,Failed
246,6199,2023-03-15,Shirt,Electronics,36267.07,Cash,Hyderabad,0,Failed
247,1716,2024-06-29,Groceries,Groceries,37355.05,Debit Card,Mumbai,15,Failed
248,1943,2021-10-19,Mixer,Electronics,4518.21,Cash,Chennai,15,Pending
249,5233,2023-02-20,Shirt,Toys,34037.11,UPI,Ahmedabad,15,Failed
250,4522,2024-09-08,Mixer,Toys,42979.7,Debit Card,Jaipur,10,Failed
251,6522,2023-01-20,Mixer,Groceries,41799.16,Debit Card,Kolkata,10,Completed
252,4229,2024-07-20,Groceries,Home & Kitchen,43237.41,Credit Card,Kolkata,10,Failed
253,4802,2023-09-29,Groceries,Electronics,24818.49,Credit Card,Jaipur,10,Pending
254,923,2024-04-07,Book,Toys,12650.24,Credit Card,Mumbai,20,Pending
255,4090,2024-02-15,Book,Books,14168.85,Credit Card,Bangalore,15,Pending
256,4250,2023-06-17,Groceries,Groceries,7910.33,Cash,Mumbai,10,Completed
257,4510,2024-07-21,Groceries,Home & Kitchen,3841.54,UPI,Ahmedabad,20,Pending
258,6307,2022-12-26,Toy,Clothing,49132.48,Cash,Hyderabad,10,Pending
259,5746,2022-09-02,Book,Groceries,23158.42,Debit Card,Jaipur,0,Failed
260,4289,2024-03-14,Shirt,Toys,16283.67,Debit Card,Jaipur,5,Failed
261,3127,2022-05-06,Groceries,Toys,6991.08,Credit Card,Hyderabad,5,Failed
262,1664,2022-05-27,Mixer,Toys,45031.48,Cash,Pune,0,Pending
263,2896,2024-02-19,Mixer,Groceries,42021.52,Cash,Hyderabad,20,Completed
264,34,2023-10-08,Laptop,Electronics,34907.43,Cash,Mumbai,0,Failed
265,6332,2022-10-13,Toy,Toys,16432.46,UPI,Pune,20,Failed
266,5165,2022-09-08,Groceries,Books,18844.62,Debit Card,Chennai,5,Failed
267,4523,2023-11-13,Mixer,Books,49249.39,Credit Card,Surat,10,Pending
268,6592,2024-10-07,Shirt,Books,16140.87,Debit Card,Kolkata,10,Failed
269,1536,2023-11-08,Book,Books,26510.5,Debit Card,Mumbai,20,Failed
270,4494,2022-10-23,Toy,Groceries,37587.23,Credit Card,Ahmedabad,10,Completed
271,4594,2022-08-25,Shirt,Clothing,33244.54,Credit Card,Bangalore,20,Pending
272,4409,2022-04-12,Book,Home & Kitchen,16360.04,Cash,Pune,5,Completed
273,3759,2023-02-19,Laptop,Home & Kitchen,19990.47,Debit Card,Kolkata,20,Failed
274,69,2024-06-06,Laptop,Home & Kitchen,17687.09,Credit Card,Mumbai,20,Failed
275,1492,2023-07-08,Toy,Toys,48558.32,UPI,Jaipur,0,Pending
276,6860,2022-04-14,Shirt,Books,29690.75,UPI,Jaipur,10,Completed
277,6033,2024-07-31,Mixer,Groceries,13605.45,UPI,Jaipur,5,Failed
278,6404,2023-01-07,Toy,Toys,32319.73,Credit Card,Mumbai,0,Pending
279,4233,2023-05-14,Groceries,Books,13602.11,Credit Card,Surat,10,Completed
280,4029,2022-02-25,Shirt,Home & Kitchen,15532.94,Debit Card,Kolkata,5,Pending
281,4871,2023-01-05,Mixer,Toys,28847.59,Debit Card,Bangalore,20,Pending
282,615,2023-11-17,Mixer,Clothing,22924.54,UPI,Hyderabad,15,Failed
283,1347,2023-08-03,Mixer,Home & Kitchen,22681.56,Cash,Hyderabad,10,Completed
284,224,2024-04-30,Shirt,Home & Kitchen,29666.26,Debit Card,Hyderabad,20,Pending
285,5220,2021-10-22,Book,Toys,2611.57,Credit Card,Surat,10,Failed
286,2377,2024-06-02,Shirt,Clothing,36636.34,Credit Card,Surat,10,Completed
287,6258,2023-07-28,Groceries,Toys,33286.87,UPI,Jaipur,15,Completed
288,5272,2023-04-20,Groceries,Electronics,22508.84,Cash,Kolkata,20,Completed
289,380,2023-07-12,Groceries,Books,2004.16,UPI,Pune,0,Failed
290,2410,2022-09-10,Book,Clothing,5857.35,Credit Card,Ahmedabad,15,Failed
291,1475,2023-05-16,Shirt,Clothing,48370.73,Credit Card,Chennai,5,Pending
292,1176,2021-10-09,Book,Clothing,5597.91,UPI,Chennai,0,Completed
293,4275,2024-05-12,Groceries,Electronics,19065.13,Debit Card,Surat,10,Failed
294,1153,2022-12-27,Groceries,Home & Kitchen,40010.27,Cash,Surat,20,Completed
295,2672,2024-04-27,Book,Clothing,16567.57,UPI,Ahmedabad,5,Pending
296,4278,2022-08-16,Groceries,Electronics,42129.3,UPI,Kolkata,15,Completed
297,2156,2023-07-31,Groceries,Electronics,2740.35,Debit Card,Mumbai,20,Completed
298,3512,2023-08-08,Mixer,Home & Kitchen,40317.34,Debit Card,Delhi,0,Pending
299,6835,2024-08-31,Laptop,Books,6589.48,UPI,Surat,20,Pending
300,4732,2022-08-25,Book,Toys,29657.94,Debit Card,Pune,0,Failed
301,2032,2024-03-02,Shirt,Clothing,29552.85,Debit Card,Pune,5,Pending
302,852,2022-09-03,Toy,Electronics,19104.08,Debit Card,Kolkata,15,Completed
303,5710,2023-06-28,Book,Books,40634.23,UPI,Surat,20,Completed
304,2973,2024-02-13,Toy,Electronics,27788.25,Credit Card,Delhi,15,Pending
305,5612,2023-07-19,Laptop,Groceries,35056.8,Credit Card,Hyderabad,10,Completed
306,5762,2023-08-11,Toy,Books,24967.27,Credit Card,Jaipur,15,Completed
307,5497,2022-04-14,Book,Clothing,34159.42,UPI,Chennai,20,Pending
308,4587,2022-09-14,Shirt,Toys,45877.38,UPI,Hyderabad,5,Completed
309,6384,2024-05-16,Shirt,Clothing,14281.93,Credit Card,Chennai,0,Completed
310,358,2022-05-23,Mixer,Groceries,47721.43,Credit Card,Mumbai,5,Pending
311,5309,2023-10-04,Toy,Electronics,27639.33,Credit Card,Hyderabad,20,Pending
312,2838,2023-08-25,Toy,Groceries,15883.82,Credit Card,Bangalore,20,Failed
313,512,2023-01-27,Toy,Clothing,45012.39,Cash,Pune,10,Failed
314,2266,2023-01-11,Toy,Electronics,11981.65,Cash,Chennai,20,Pending
315,4346,2024-09-30,Shirt,Toys,25756.68,Credit Card,Pune,0,Failed
316,5099,2022-07-03,Shirt,Home & Kitchen,3185.4,Cash,Mumbai,5,Failed
317,5787,2024-04-08,Toy,Clothing,35743.26,Debit Card,Hyderabad,20,Pending
318,6053,2024-04-10,Shirt,Home & Kitchen,46927.98,Debit Card,Pune,20,Pending
319,2558,2021-12-24,Book,Groceries,12834.67,UPI,Kolkata,10,Failed
